,order_type,procedure_name,count(*)
1940,Imaging,US PYLORIC STENOSIS,14
1941,Outpatient Referral,AMB REFERRAL TO HEMATOLOGY ONCOLOGY,14
1942,Lab,PSA MEDICARE SCREEN,14
1943,ECG,EKG RHYTHM STRIP,14
1944,Lab,BETA 2 TRANSFERRIN,14
1945,Lab,NUTRITION PANEL,14
1946,Lab,ANA TITER,14
1947,Imaging,MRI HAND W WO CONTRAST LEFT,13
1948,Imaging,MRI SACRUM WO CONTRAST,13
1949,Respiratory Care,METERED DOSE INHALER,13
1950,Imaging,MRI PELVIS W CONTRAST,13
1951,Lab,"OCCULT BLOOD IMMUNOASSAY, STOOL",13
1952,Imaging,CT WRIST WO CONTRAST LEFT,13
1953,Nursing,RELEASE RESTRAINT,13
1954,Imaging,MRI THORACIC LUM WO CONT,13
1955,Lab,ADRENAL ANTIBODY,13
1956,Imaging,MAMMO BREAST US LT COMPLETE,13
1957,Lab,"CERVICAL OR VAGINAL CYTOPATH, THIN PREP",13
1958,PT,PT SPLINT APPLICATION,13
1959,Imaging,MRI PITUITARY W WO CONTRAST,13
1960,Lab,CARNITINE,13
1961,Lab,"PARANEOPLASTIC PROFILE, CSF",13
1962,Lab,GLIADIN ABS IGG/IGA,13
1963,Imaging,US VEN DOPPLER MAPPING LEG LEFT,13
1964,Imaging,CT HEAD MAXILLOFACIAL WO CONTRAST,13
1965,PT,PT VESTIBULAR REHAB,13
1966,Equipment,WALKER STANDARD,13
1967,Nursing,BP CHECK ON SPECIFIC SIDE/AREA,13
1968,Lab,VORICONAZOLE LEVEL,13
1969,Lab,PTH INTEROPERATIVE BASELINE,13
1970,Cardiac Services,CARDIAC EVENT MONITOR,13
1971,PR Charge,PR CASE MANAGEMENT,13
1972,Microbiology,BRONCHIAL BRUSH CULTURE,13
1973,PT,PT ORTHOSIS TO LOWER EXTREMITY,13
1974,Outpatient Referral,AMB REFERRAL TO PODIATRY,13
1975,Imaging,MRI FEMUR WO CONTRAST BILAT,13
1976,Imaging,CT ELBOW WO CONTRAST LEFT,12
1977,External Education,EDUCATION DIABETES - INJECTING INSULIN:PEN - EMMI,12
1978,Lab,"CALCIUM, RANDOM URINE",12
1979,Imaging,MRI WRIST W WO CONTRAST RIGHT,12
1980,Imaging,US BREAST UNI RT LTD,12
1981,Lab,"PORPHYRINS, STOOL",12
1982,Nursing,REPLACE FEEDING TUBE,12
1983,Cardiac Services,HOLTER MONITOR,12
1984,Nursing,BETADINE SOAKS,12
1985,Imaging,XR WRIST 1 VW RIGHT,12
1986,Lab,URINALYSIS DIPSTICK ONLY,12
1987,Imaging,XR LUMBAR SPINE 4+ VW,12
1988,External Education,EDUCATION HOSPICE CARE: OPTIONS,12
1989,Imaging,MAMMO BREAST US LEFT LTD,12
1990,Lab,"ALDOSTERONE, 24HR URINE",12
1991,Imaging,MAMMO BREAST US RT COMPLETE,12
1992,Nursing,FOLLOW INTERDIS PW: 23 HOUR OBSERVATION: SYNCOPE PATHWAY,12
1993,Lab,TRISOMY BY FISH,12
1994,Lab,VITAMIN C LEVEL,12
1995,Lab,"CORTISOL, SALIVA",12
1996,Blood Bank,EXTRA TUBE (PINK/BB LAV),12
1997,Nursing,DECUBITUS PRECAUTIONS,12
1998,Lab,HEPATITIS PANEL (B ONLY),12
1999,Lab,TRANSGLUTAMINASE IGG ANTIBODY,12
2000,Lab,MUSK ANTIBODY,12
2001,Imaging,US ARTERIAL W SEGMENTAL PRESS LOWER EXT,12
2002,Imaging,MRI HAND WO CONTRAST RIGHT,12
2003,Lab,ADAMTS13 INHIBITOR BETHESDA TITER,12
2004,Imaging,XR MYELOGRAM 2 OR MORE REGIONS,12
2005,Imaging,CT CERVICAL LUMBAR WO CONTRAST,12
2006,Lab,MYELOPEROXIDASE IGG,12
2007,Lab,AMIODARONE LEVEL,12
2008,Imaging,MRI KNEE WO CONTRAST BILAT,12
2009,Lab,INTRINSIC FACTOR BLOCKING ANTIBODY,12
2010,External Education,EDUCATION ACUTE LOW BACK PAIN - EMMI,12
2011,Imaging,MRI FOREARM WO CONTRAST RIGHT,12
2012,Nursing,EAR WAX REMOVAL,12
2013,Imaging,CT CERV THOR LUMB WO CONTRAST,12
2014,Lab,TOXOPLASMA GONDII BY PCR,12
2015,Lab,"CHLAMYDIA AND GC, PAP VIAL",12
2016,Nursing,SIDE RAILS,12
2017,Nursing,FOLLOW INTERDIS PW: HYSTERECTOMY PATHWAY,12
2018,Lab,VARICELLA ZOSTER AB IGG/IGM,12
2019,Imaging,US LOW EXT ART DOPP SNGL LVL BI,12
2020,Lab,JAK2 EXON 12 AND OTHER NON-V617F MUTATION DETECTION,12
2021,Lab,"PORPHYRINS, 24 HOUR URINE",12
2022,Procedures,JAW DISLOCATION TREATMENT,12
2023,Imaging,MRI HUMERUS WO CONTRAST LEFT,12
2024,Blood Bank,"ANTIBODY SCREEN, PRENATAL",12
2025,Procedures,ARTERIAL LINE INSERTION,12
2026,Respiratory Care,TRACH CARE  HOME INSTRUCTION,11
2027,Imaging,CT HUMERUS WO CONTRAST LEFT,11
2028,Imaging,XR FLUORO GI TUBE EVAL W/CONT,11
2029,Imaging,XR FLUORO LOOPOGRAM,11
2030,Lab,"METHOTREXATE LEVEL, 72 HR",11
2031,Lab,ACHR GANGLIONIC NEURONAL AB,11
2032,Imaging,MAMMO BREAST US RT,11
2033,Imaging,MRI ELBOW W WO CONTRAST RIGHT,11
2034,Nursing,ELOPEMENT RISK,11
2035,Lab,"SPECIFIC GRAVITY, BODY FLUID",11
2036,Nursing,FOLLOW INTERDIS PW: SKIN CARE PREVENTION: PRESSURE ULCER PATHWAY,11
2037,Imaging,MRA VENOUS PELVIS WWO CONTRAST,11
2038,OB,BREAST PUMP,11
2039,Respiratory Care,RSV COLLECTION,11
2040,Imaging,NM TUMOR LOC WHOLE BODY OCTREO,11
2041,Lab,MYOSITIS ANTIBODY PANEL,11
2042,Imaging,MRI HIP W WO CONTRAST BILAT,11
2043,Outpatient Referral,AMB REFERRAL TO SOCIAL WORK,11
2044,Imaging,MRI CHEST W WO CONTRAST,10
2045,Lab,HEPATITIS E IGG,10
2046,Imaging,MAMMO BREAST US BIOPSY RIGHT,10
2047,Imaging,MRI HUMERUS WO CONTRAST RIGHT,10
2048,Lab,LEAD BLOOD,10
2049,Lab,HISTOPLASMA ANTIBODIES,10
2050,Nursing,HOLD PROCEDURE/MED AND NOTIFY PHYSICIAN IF,10
2051,Imaging,MRI BREAST W WO CONT BILAT,10
2052,Diet,DIET POST GASTRECTOMY,10
2053,Lab,"ARBOVIRUS AB PANEL, CSF",10
2054,Imaging,CT ST NECK CHEST ABD PEL W CONT,10
2055,Diet,DIET PEDIATRIC DIABETIC,10
2056,Neurology,EEG 24 HOUR,10
2057,Lab,"LACTIC ACID, CSF",10
2058,Imaging,MRI ELBOW W WO CONTRAST LEFT,10
2059,Lab,AMIKACIN LEVEL TROUGH,10
2060,Lab,"ALLERGY PANEL, MIDWEST ALLERGENS",10
2061,Imaging,US BREAST BILATERAL,10
2062,Lab,COAGULATION INTERPRETATION,10
2063,OT,OT DEBRIDEMENT WOUNDS,10
2064,External Education,EDUCATION PATIENT SATISFACTION: HOSPITAL VISIT EXPECTATIONS,10
2065,Lab,FUNGAL ANTIBODIES,10
2066,Lab,"URIC ACID, RANDOM URINE",10
2067,Imaging,CT ASPIRATION SPINE,10
2068,Imaging,MAMMO BREAST US BIOPSY LEFT,10
2069,Imaging,MRI THERAPY PLANNING CSPINE W CONTRAST,10
2070,Lab,HIV 2 ANTIBODY,10
2071,Lab,LIPOPROTEIN A,10
2072,Imaging,CT HIP W CONTRAST LEFT,10
2073,Lab,PNEUMOCOCCAL IGG ANTIBODY,10
2074,Nursing,LAB COLLECTION COMMUNICATION ORDER C,10
2075,Imaging,US BREAST UNILATERAL RIGHT,10
2076,Lab,CENTROMERE ANTIBODY,10
2077,Lab,HSV IGM ANTIBODY,10
2078,Imaging,NM LIVER SPLEEN SCAN,10
2079,Imaging,MRI SOFT TISSUE NECK WO CONTRAST,10
2080,Lab,ARBOVIRUS ANTIBODY PANEL,10
2081,Imaging,XR HAND 1 VW RIGHT,10
2082,Imaging,IMAGING REPORT,10
2083,Imaging,XR BARIUM ENEMA AIR CONTRAST,10
2084,Lab,HIV 1 WESTERN BLOT,10
2085,Imaging,XR FISTULA ABSCESS SINUS TRACT,10
2086,Lab,CELIAC SEROLOGY AND GENETICS,10
2087,Imaging,XR CHEST SPECIAL VIEW,10
2088,Lab,D-LACTATE,10
2089,Lab,TRANSFERRIN RECEPTOR TFR SOLUBLE,10
2090,Procedures,GASTRIC LAVAGE,10
2091,Lab,LIDOCAINE LEVEL,10
2092,Nursing,BREAST PUMP TO BED,10
2093,Lab,MUMPS IGG/IGM ANTIBODIES,10
2094,Electrophysiology,CL CARDIOVERSION,10
2095,Imaging,MAMMO BREAST SPECIMEN BILAT,10
2096,Lab,"HEAVY METAL, 24 HR URINE",10
2097,Imaging,MRI WRIST WO CONTRAST LEFT,10
2098,Dialysis,MANUAL PERITONEAL DIALYSIS,10
2099,Lab,CROHN'S PROGNOSTIC PANEL,10
2100,Nursing,STRAPPING OF HIP,10
2101,PFT,SPIROMETRY WITH BRONCHODILATOR,10
2102,Lab,"PH, STOOL",10
2103,Imaging,XR HIPS BILATERAL 3-4 VIEWS,10
2104,Lab,PML/RARA QUANTITATIVE PCR,9
2105,Lab,"METHOTREXATE LEVEL, 48 HR",9
2106,Lab,MATERNAL SERUM QUAD SCREEN,9
2107,Lab,"14-3-3 PROTEIN, CSF",9
2108,Lab,"CHLAMYDIA, URINE",9
2109,General Supply,WRIST SPLINT,9
2110,Lab,LEPTOSPIRA ANTIBODY,9
2111,Imaging,XR DEXA BONE DENSITY W VERTEBRAL FX,9
2112,Outpatient Referral,AMB REFERRAL TO INFECTIOUS DISEASE,9
2113,Lab,NEURONAL (V-G) K+ CHANNEL AB,9
2114,Imaging,XR CERVICAL SPINE MIN 6 VIEWS,9
2115,Imaging,MRI LOW EXT NON JNT W WO CONT RT,9
2116,Nursing,ONCOLOGY NURSING COMMUNICATION D,9
2117,Imaging,CT ST NECK/CHEST/ABD/PEL WO CONT,9
2118,Lab,"IMMUNOFIXATION, RANDOM URINE",9
2119,Nursing,ANKLE BRACHIAL INDEX - NURSE PERFORMED,9
2120,Lab,"CHLORIDE, BODY FLUID",9
2121,Lab,THYROTROPIN-BINDING INHIBITORY IMMUNOGLOB,9
2122,Outpatient Referral,AMB REFERRAL TO RHEUMATOLOGY,9
2123,Imaging,MRI HAND WO CONTRAST LEFT,9
2124,Microbiology,CHLAMYDIA TRACHOMATIS CULTURE,9
2125,Diet,DIET PROTEIN CONTROL,9
2126,Nursing,INSULIN PUMP INTERROGATION,9
2127,Lab,"DRUG SCREEN,PRESCRIPTION/OTC",9
2128,Lab,HEPATITIS E IGM,9
2129,External Education,EDUCATION NUTRITION AND HEALTHY EATING - EMMI,9
2130,External Education,EDUCATION GESTATIONAL DIABETES - EMMI,9
2131,Imaging,MRI FEMUR W WO CONTRAST BILAT,8
2132,External Education,EDUCATION ANTICOAGULANTS FOR DVT,8
2133,Imaging,PET BRAIN PERFUSION EVAL IMAGING,8
2134,Nursing,ENCOURAGE FREQUENT VOIDING,8
2135,Lab,MYCOPHENOLIC ACID,8
2136,Imaging,US RENAL SPLEEN,8
2137,Respiratory Care,SPEAKING VALVE,8
2138,External Education,EDUCATION ANTICOAGULANTS FOR DVT - EMMI,8
2139,Lab,CRYPTOCOCCAL TITER,8
2140,Consult,IP CONSULT TO PROSTHETICS,8
2141,Imaging,NM CSF SHUNT,8
2142,External Education,EDUCATION CHRONIC LOW BACK PAIN - EMMI,8
2143,Imaging,NM BRAIN IMAG VASC FLOW ONLY,8
2144,Lab,MYCOPLASMA IGM,8
2145,Imaging,US BIOPSY BREAST RIGHT,8
2146,Imaging,XR PELVIS AND HIPS INFANT CHILD,8
2147,Lab,RSV ANTIBODY,8
2148,Neurology,AMB EPIDURAL STEROID INJECTION,8
2149,External Education,EDUCATION CHRONIC OBSTRUCTIVE PULMONARY DISEASE - EMMI,8
2150,Imaging,CT TEMPORAL BONE W CONTRAST,8
2151,Lab,VITAMIN K LEVEL,8
2152,Procedures,ANOSCOPY,8
2153,Lab,ACTIVATED PROTEIN C RESISTANCE,8
2154,Imaging,XR ARTHROGRAM SHOULDER RIGHT,8
2155,Nursing,APPLY PRESSURE DRESSING,8
2156,Lab,"CRYPTOCOCCAL ANTIGEN TITER, BLOOD",8
2157,Nursing,ENCOURAGE ACTIVE RANGE OF MOTION AS APPROPRIATE,8
2158,Nursing,LUMBAR DRAIN MONITORING,8
2159,Consult,IP CONSULT TO BEHAVIORAL HEALTH SOCIAL WORK,8
2160,Imaging,US ARTERIAL IMAGE LOWER GRAFT,8
2161,Isolation,NEUTROPENIC PRECAUTIONS,8
2162,Imaging,US OB 14+ COMP + US NST,8
2163,Nursing,CHECK WITH MD,8
2164,Imaging,CT FEMUR W CONTRAST RIGHT,8
2165,Imaging,XR VENOGRAM EXT UNILATERAL RIGHT,8
2166,Lab,"FISH, ANEUPLOIDY",8
2167,Lab,"DELTA-AMINOLEVULINIC, URINE",8
2168,PFT,BRONCHIAL CHALLENGE WITH METHACHOLINE,8
2169,Imaging,MRI HIP WO CONTRAST BILAT,8
2170,Imaging,MRI SOFT TISSUE NECK W CONTRAST,8
2171,Nursing,VASCULAR ACCESS TO DEVICE SITE,8
2172,Outpatient Referral,AMB REFERRAL TO OB/GYN,8
2173,Nursing,SHAVE PATIENT,8
2174,Sleep Center,REDUCED POLYSOMNOGRAPHY 4 OR MORE PARAMETERS WITH CPAP,8
2175,Respiratory Care,"OXYGEN, OXYMYZER",8
2176,Imaging,MRI WRIST W WO CONTRAST LEFT,8
2177,Imaging,CT FEMUR W CONTRAST LEFT,8
2178,Imaging,MRI FOREARM W WO CONTRAST LEFT,8
2179,Imaging,CT FOREARM W CONTRAST LEFT,8
2180,Imaging,XR CHOLANGIO PANCREAT THRU CATH,8
2181,External Education,EDUCATION HYSTERECTOMY (ABDOMINAL) - EMMI,8
2182,Nursing,PATIENT MONITORING CONTINUOUS 1 STAFF:1 PATIENT,8
2183,GU Procedure,CYSTOSCOPY,8
2184,Lab,"HSV IGM, IFA",8
2185,Lab,HIV 1 GENOTYPE,8
2186,External Education,EDUCATION HYPERLIPIDEMIA - EMMI,8
2187,Substance Abuse,ALCOHOL AND OR DRUG ASSESSMENT,8
2188,Imaging,MRI ORBIT FACE NECK W WO CONTRAST,8
2189,Nursing,GLASGOW COMA SCALE,8
2190,Imaging,CT IAC WO CONTRAST,8
2191,Imaging,CT FOOT W WO CONTRAST LEFT,8
2192,Lab,"SPECIMEN HOLD, BLOOD",8
2193,Microbiology,HELICOBACTER PYLORI RAPID UREASE TEST,8
2194,Lab,HEPATITIS D ANTIBODY,8
2195,Imaging,MRI THERP PLAN CSPINE WO CONTRAST,8
2196,Neurology,EMG,8
2197,Nursing,CHANGE TRACHEOSTOMY,8
2198,Imaging,US SPINAL CANAL AND CONTENTS,8
2199,Imaging,US INFANT HIPS W MANIPULATION,8
2200,Consult,IP CONSULT TO TELEMEDICAL GENETICS,8
2201,Imaging,CT DRAINAGE SUBDIAPHRAGM SUBPH,8
2202,Lab,PROTEINASE 3 ANTIBODY,8
2203,Imaging,MRI FEMUR W WO CONTRAST LEFT,8
2204,Lab,HUMAN HERPES VIRUS 6,8
2205,Lab,ENA ANTIBODIES (SM AND SM/RNP),8
2206,Lab,"CADMIUM, BLOOD",7
2207,Imaging,MAMMO BREAST US BILAT COMPLETE,7
2208,Lab,LIPID RFLX,7
2209,Lab,G6PD QUALITATIVE,7
2210,Point of Care Testing,POC MICROALBUMIN,7
2211,Lab,SACCHAROMYCES CEREVISIAE IGG AND IGA,7
2212,Imaging,US ANKLE PRESSURE INDEX,7
2213,Lab,17 HYDROXYPROGESTERONE,7
2214,Procedures,THORACENTESIS,7
2215,Lab,CHLAMYDIA SPECIES AB PANEL,7
2216,Imaging,CT HUMERUS WO CONTRAST RIGHT,7
2217,Equipment,TED HOSE,7
2218,Imaging,XR SACROILIAC JOINTS LESS THAN 3 VW,7
2219,General Supply,WALKING BOOT,7
2220,Lab,"ALLERGY PANEL, PERENNIAL ALLERGENS",7
2221,Microbiology,EAR CULTURE,7
2222,Imaging,IR ANGIOPLASTY VENOUS,7
2223,Lab,PYRUVIC ACID,7
2224,Sleep Center,POLYSOMNOGRAPHY 4 OR MORE PARAMETERS WITH CPAP,7
2225,Lab,THYROID AUTOANTIBODIES PROFILE,7
2226,General Supply,ICE PACK,7
2227,Imaging,US RNL DPLX ABD PELV RENAL COMP,6
2228,Lab,AMITRIPTYLINE LEVEL,6
2229,Imaging,XR SPEECH EVALUATION COMPLEX,6
2230,Lab,GLIADIN ANTIBODY IGG,6
2231,Consult,IP CONSULT TO STROKE EDUCATION,6
2232,Nursing,SPINAL IMMOBILIZATION,6
2233,Imaging,US DRAINAGE PLEURAL PERC W CATH W GUIDE LEFT,6
2234,Imaging,XR IVP,6
2235,Imaging,XR KNEE 4+ VW LEFT,6
2236,Imaging,CT IAC W CONTRAST,6
2237,Nursing,EAR DRESSING,6
2238,Lab,FACTOR X ACTIVITY,6
2239,Imaging,US BIOPSY BREAST LEFT,6
2240,Imaging,MRI ORBITS W WO CONTRAST,6
2241,Imaging,US FETAL DETAIL + NST,6
2242,Nursing,ONCOLOGY TREATMENT PARAMETERS C,6
2243,Imaging,XR HAND 1 VW BILAT,6
2244,Imaging,US BIOPSY RENAL BILAT,6
2245,Lab,EXTRA TUBE (URINE GRAY),6
2246,Outpatient Referral,AMB REFERRAL TO BREAST CLINIC,6
2247,Lab,KIDNEY STONE FORMATION DIAGNOSTIC PANEL,6
2248,Lab,"BETA 2 MICROGLOBULIN, RANDOM URINE",6
2249,Lab,"METHADONE QUANTITATIVE, URINE",6
2250,External Education,EDUCATION CHOLECYSTECTOMY LAPAROSCOPIC - EMMI,6
2251,Lab,"HU AB, WESTERN BLOT",6
2252,External Education,EDUCATION COMPRESSION STOCKINGS - EMMI,6
2253,Imaging,MRI HUMERUS W WO CONTRAST RIGHT,6
2254,Imaging,CT KNEE W WO CONTRAST LEFT,6
2255,Lab,ESTRADIOL,6
2256,PR Charge,PR OTHER DRUGS/MEDICAMENTS,6
2257,External Education,EDUCATION ATRIAL FIBRILLATION - EMMI,6
2258,Nursing Transfusion,TRANSFUSE WHOLE BLOOD IN ML,6
2259,Lab,"TRICYCLIC ANTIDEPRESSANT, BLOOD",6
2260,Electrophysiology,NM MYOCARD PERF IMAG SPECT MULT,6
2261,Imaging,MRI UPR EXT NON JNT WO CONT LEFT,6
2262,Imaging,MAMMO BREAST US ASPIRATION LEFT,6
2263,Imaging,MRA VENOUS LOW EXT WWO CONT,6
2264,Lab,OBSTETRIC PANEL WITH HIV,6
2265,OT,OT COMPRESSION GARMENT MEASUREMENT,6
2266,PR Charge,PR URINE STRAINER,6
2267,Lab,ADENOVIRUS ANTIBODY,6
2268,Imaging,NM THYROID SCAN ONLY I 123,6
2269,Respiratory Care,"OXYGEN,VENTI-MASK",6
2270,Nursing,TRANSFER ACTIVITY,6
2271,PR Charge,"PR HOSPICE LONG TERM CARE, R&B",6
2272,Blood Bank,PRODUCT NEONATE EXCHANGE,6
2273,Outpatient Referral,AMB REFERRAL TO INFUSION CLINIC,6
2274,Lab,LACTOSE TOLERANCE TEST,6
2275,Imaging,MRI KNEE W WO CONTRAST BILAT,6
2276,Imaging,MRI UPR EXT NON JNT W WO CONT LT,6
2277,PT,PT WHEELCHAIR MODIFICATIONS,6
2278,Imaging,MRI FOREARM WO CONTRAST LEFT,6
2279,Lab,"POTASSIUM, 24 HR URINE",6
2280,Lab,"IGG SYNTHESIS RATE INDEX, CSF",6
2281,Imaging,US OB GREATER THAN 14 WKS + MCA DOPPLER,6
2282,Imaging,CTA UPR EXT W WO CONTRAST RIGHT,6
2283,Imaging,NM MECKELS,6
2284,Imaging,XR BONE AGE HAND AND WRIST,6
2285,Blood Bank,PRODUCT NEONATAL EXCHANGE,6
2286,Imaging,US BREAST UNILATERAL LEFT,6
2287,Imaging,CT HAND WO CONTRAST LEFT,6
2288,Nursing,FOLLOW INTERDIS PW: SKIN CARE TREATMENT: PRESSURE ULCER/LOWER EXT ULCER PAT,6
2289,Imaging,NM CSF LEAK DETECTION,6
2290,Microbiology,CARBAPENEM RESISTANT ORGANISM,6
2291,Imaging,XR HAND 1 VW LEFT,6
2292,Lab,"PSA, POST PROSTATECTOMY",6
2293,Blood Bank,THERAPEUTIC PHLEBOTOMY,6
2294,Imaging,US LVR DPLX ABD PELV RENAL COMP,6
2295,Imaging,MRI HIP W CONTRAST LEFT,6
2296,Imaging,MRI TIBIA FIBULA WO CONT BILAT,6
2297,Lab,"ALLERGEN ASPERGILLUS FUMIGATUS, IGE",6
2298,Imaging,CT DRAINAGE RENAL LEFT,6
2299,Lab,ANA CASCADE,6
2300,Nursing,THERAPEUTIC PASS,6
2301,Imaging,NM LIVER SPECT,6
2302,Respiratory Care,VENTILATOR CHECKS,6
2303,ECHO,ECHO PEDIATRIC LIMITED WO DOPPLER,6
2304,Imaging,CT HIP W WO CONTRAST LEFT,6
2305,Imaging,XR DEXA BONE DENSITY AXIAL 1 OR MORE SITES,6
2306,Imaging,CT HUMERUS W CONTRAST RIGHT,6
2307,Lab,RNP ANTIBODY,6
2308,Lab,CYSTIC FIBROSIS MUTATION ANALYSIS,6
2309,Imaging,NM LUNG VENT AEROSOL MULTIPLE,6
2310,Imaging,MRI THERAPY PLANNING TSPINE W CONTRAST,6
2311,OT,OT TREATMENT,6
2312,Imaging,CT ELBOW W CONTRAST LEFT,6
2313,Respiratory Care,"OXYGEN,T-PIECE",6
2314,Imaging,CT ORBITS W WO CONTRAST,6
2315,Lab,BETA D GLUCAN,6
2316,Nursing,FOLLOW INTERDIS PW: CHEST PAIN,6
2317,Imaging,XR CLAVICLE BILAT,6
2318,Imaging,CT ASPIRATION PLEURA LEFT,6
2319,Imaging,MRI ELBOW WO CONTRAST RIGHT,6
2320,Imaging,XR THORACOLUMBAR SPINE 1 VW,6
2321,Dialysis,ULTRAFILTRATION,6
2322,Lab,CAFFEINE LEVEL,6
2323,Lab,"PROTEIN S AG,FREE",6
2324,Imaging,NM ABSCESS LOC WHOLE BODY IND,6
2325,Imaging,XR HIPS BILAT MIN 5 VIEWS,6
2326,Imaging,NM ABSCESS INDIUM + BONE WHOLE BODY,6
2327,Imaging,CT HAND W CONTRAST LEFT,6
2328,Lab,HYPOGLYCEMIC AGENT SCREEN,6
2329,Lab,LMW HEPARIN ACTIVITY,6
2330,Imaging,MRI TIBIA FIBULA W CONT RIGHT,6
2331,Nursing,LOW STIMULATION PROTOCOL,6
2332,External Education,EDUCATION STROKE - PREVENTING SECONDARY STROKE - EMMI,6
2333,Lab,GABAPENTIN LEVEL,6
2334,External Education,EDUCATION PAIN MANAGEMENT: PCA,6
2335,Lab,B-CELL CHRONIC LYMPHOCYTIC LEUKEMIA PANEL BY FISH,6
2336,External Education,EDUCATION ASTHMA - EMMI,6
2337,Lab,HLA B27,6
2338,Diet,DIET COMPLEX CARB (LOW SIMPLE CHO),6
2339,Imaging,XR TEMPOROMANDIBULAR JOINTS BI,6
2340,Imaging,NM LUNG QUAN DIF FUNC PERF ONLY,6
2341,Imaging,CT SINUS SCREENING LTD,6
2342,IV,IV LINE FOR CT SCAN,6
2343,Consult,IP CONSULT TO PEDIATRIC OPTHALMOLOGY,6
2344,Point of Care Testing,"POC KETONE, BLOOD",6
2345,Imaging,NM THYROID 24 HR UPTAKE AND SCAN,6
2346,Imaging,CT TIBIA FIBULA W CONTRAST LEFT,6
2347,Nursing,STAT PULSE OX ONCE IP - NURSING,6
2348,Imaging,US BREAST BILAT COMPLETE,6
2349,Lab,INFLAMMATORY BOWEL DISEASE SCREEN,5
2350,Outpatient Referral,AMB REFERRAL TO BEHAVIORAL HEALTH,5
2351,Imaging,MAMMO BREAST US BILAT,5
2352,Blood Bank,PREPARE FFP FOR THERAPEUTIC EXCHANGE,5
2353,Microbiology,CLOSTRIDIUM DIFFICILE TOXIN PCR,5
2354,Outpatient Referral,AMB REFERRAL TO PEDIATRICS,5
2355,Equipment,BREAST PUMP,5
2356,Lab,PHENYLALANINE AND TYROSINE,5
2357,Lab,AMIKACIN LEVEL RANDOM,5
2358,Imaging,MRI CHEST WO CONTRAST,5
2359,Nursing,TUBE FEEDING,5
2360,Outpatient Referral,AMB REFERRAL TO PEDIATRIC NEUROLOGY,5
2361,Lab,HTLV I AND II ABS W/CONFIRMATION,5
2362,Outpatient Referral,AMB REFERRAL TO OPHTHALMOLOGY,5
2363,General Supply,ANKLE SPLINT,5
2364,Imaging,XR FOOT 1 VW RIGHT,5
2365,Imaging,US EXT NON VASC  LTD BI,5
2366,Imaging,US AORTA IVC ILIAC DUPLEX COMP,5
2367,Outpatient Referral,AMB REFERRAL TO PSYCHIATRY,5
2368,Diet,DIET PHOSPHORUS CONTROL,5
2369,Imaging,XR UPR EXTR INFANT 2+ VW BI,5
2370,Lab,CSF PANEL WITH CULTURE,5
2371,OB,BREAST CARE / SUPPORT BRA,5
2372,Lab,CK ISOENZYMES,5
2373,Nursing,WEIGH BLOOD LOSS,4
2374,Imaging,MRI HUMERUS W WO CONTRAST LEFT,4
2375,Lab,"ACYLCARNITINE QUANTITATIVE, PLASMA",4
2376,Lab,PARIETAL CELL ANTIBODY,4
2377,Imaging,MRI LOW EXT NON JNT WO CONT LEFT,4
2378,OB,FETAL CONTRACTION STRESS TEST,4
2379,Nursing,APPLY/REPLACE CAST,4
2380,OT,OT HOT PACK OR COLD PACK,4
2381,Nursing,APPLICATION FINGER SPLINT DYNAMIC,4
2382,Consult,IP CONSULT TO PATHOLOGY,4
2383,External Education,"EDUCATION HYSTERECTOMY (LAPAROSCOPIC, ROBOT-ASSISTED) - EMMI",4
2384,Imaging,MRI FEMUR WO CONTRAST LEFT,4
2385,Lab,NEONATAL BASIC CHEM/BILI PROFILE,4
2386,Lab,"OXYCODONE (PERCODAN), URINE",4
2387,Lab,"HCG QUALITATIVE, SERUM",4
2388,Lab,"CHLORIDE, CSF",4
2389,Imaging,CT CHEST W + ABD W WO CONT,4
2390,Imaging,CT TEMPORAL BONE W WO CONTRAST,4
2391,Nursing,TELEMETRY EKG INSTRUCTION,4
2392,Procedures,INTEROSSEOUS INSERTION,4
2393,Lab,BABESIA MICROTI BY PCR,4
2394,External Education,EDUCATION INHALER - SPIRIVA HANDIHALER,4
2395,Imaging,CT FEMUR WO CONTRAST BILAT,4
2396,Imaging,CT LOW EXT W WO CONTRAST LEFT,4
2397,Diet,DIET FINGER FOODS,4
2398,OT,OT HOME EVALUATION,4
2399,Microbiology,"FUNGUS CULTURE, SKIN HAIR OR NAIL",4
2400,Respiratory Care,"OXYGEN,BLOW-BY",4
2401,Imaging,XR ARTHROGRAM WRIST LEFT,4
2402,Lab,ECHOVIRUS ANTIBODY,4
2403,Lab,"CHROMOSOME ANALYSIS, CHORIONIC VILLI",4
2404,Microbiology,BACTERIAL ANTIGEN DETECTION,4
2405,Lab,LACOSAMIDE LEVEL,4
2406,External Education,"EDUCATION DIABETES, TYPE 2",4
2407,Nursing,CLAVICLE IMMOBILIZATION,4
2408,Imaging,CT FOOT W CONTRAST LEFT,4
2409,Imaging,CT HUMERUS W CONTRAST LEFT,4
2410,Lab,DHEA,4
2411,PR Charge,PR WALKER SEAT ATTACHMENT,4
2412,Imaging,XR ARTHROGRAM SHOULDER LEFT,4
2413,Imaging,CT FOREARM W CONTRAST RIGHT,4
2414,Lab,"LDL CHOLESTEROL, DIRECT",4
