,admitting_diagnosis,count(admitting_diagnosis)
663,"Neoplasm of unspecified behavior of bone, soft tissue, and skin",54
664,Compression of vein,54
665,Mixed incontinence,53
666,"Inguinal hernia without mention of obstruction or gangrene, recurrent unilateral or unspecified",53
667,"Hip, thigh, leg, and ankle, insect bite, nonvenomous, without mention of infection",53
668,Unspecified transient cerebral ischemia,53
669,"Unspecified pre-eclampsia, third trimester",53
670,"Jaundice, unspecified, not of newborn",53
671,"Mild or unspecified pre-eclampsia, antepartum",53
672,Female stress incontinence,53
673,Dysphonia,53
674,"Complete rotator cuff tear or rupture of left shoulder, not specified as traumatic",53
675,Subarachnoid hemorrhage,53
676,Malignant neoplasm of unspecified site of unspecified female breast,52
677,"Unilateral inguinal hernia, without obstruction or gangrene, recurrent",52
678,Cutaneous abscess of face,52
679,"Localized osteoarthrosis not specified whether primary or secondary, pelvic region and thigh",52
680,"Gestational diabetes mellitus in pregnancy, insulin controlled",52
681,Hypertrophy of adenoids alone,52
682,Other abnormal blood chemistry,52
683,"Other specific arthropathies, not elsewhere classified, other specified site",52
684,"Primary localized osteoarthrosis, pelvic region and thigh",52
685,"Antepartum hemorrhage, unspecified, second trimester",52
686,"Acute respiratory failure, unspecified whether with hypoxia or hypercapnia",52
687,Pain in right toe(s),52
688,Ingrowing nail,52
689,Unspecified pleural effusion,51
690,Unspecified disorder of penis,51
691,"Unspecified maternal hypertension, unspecified trimester",51
692,Pneumonia due to other Gram-negative bacteria,51
693,"Contusion of scalp, initial encounter",51
694,Nonspecific (abnormal) findings on radiological and other examination of gastrointestinal tract,51
695,"Abnormal findings on diagnostic imaging of other abdominal regions, including retroperitoneum",51
696,"Unspecified injury of nose, initial encounter",51
697,"Unspecified adverse effect of drug or medicament, initial encounter",51
698,Secondary malignant neoplasm of bone and bone marrow,51
699,Observation following other accident,51
700,Nontoxic single thyroid nodule,51
701,Cutaneous abscess of left lower limb,51
702,Nonunion of fracture,50
703,Pain in right thigh,50
704,"Other complications of procedures, not elsewhere classified, initial encounter",50
705,Neoplasm of unspecified behavior of bladder,50
706,Unspecified hypertension antepartum,50
707,"Subdural hemorrhage following injury, without mention of open intracranial wound, no loss of consciousness",50
708,"Incisional hernia with obstruction, without gangrene",50
709,Other unknown and unspecified cause of morbidity or mortality,50
710,"Elderly primigravida, antepartum",50
711,"Laceration without foreign body of unspecified part of head, initial encounter",50
712,Benign essential hypertension antepartum,50
713,Other closed transcervical fracture of femur,50
714,"Other complications due to other vascular device, implant, and graft",50
715,"Cervical shortening, antepartum condition or complication",50
716,"Encounter for supervision of normal pregnancy, unspecified, unspecified trimester",50
717,Generalized enlarged lymph nodes,50
718,Spondylosis of unspecified site without mention of myelopathy,50
719,Other specified disorders of breast,49
720,Family history of malignant neoplasm of gastrointestinal tract,49
721,Pain in left hand,49
722,Visual discomfort,49
723,Unspecified disease of pancreas,49
724,Spinal stenosis in cervical region,49
725,Unspecified hypertensive kidney disease with chronic kidney disease stage V or end stage renal disease,49
726,"Other tear of lateral meniscus, current injury, right knee, initial encounter",49
727,Pneumonitis due to inhalation of food or vomitus,49
728,Acute obstructive laryngitis (croup),49
729,Cutaneous abscess of groin,49
730,"Pruritus, unspecified",49
731,"Laceration without foreign body of right forearm, initial encounter",49
732,"Ocular pain, bilateral",49
733,"Encounter for pregnancy test, result positive",49
734,"Other specified injuries of right foot, initial encounter",49
735,Edema,49
736,Exostosis of unspecified site,49
737,First degree perineal laceration during delivery,48
738,Other specified genital prolapse,48
739,Esophageal varices without bleeding,48
740,Intestinal infection due to Clostridium difficile,48
741,Other ureteric obstruction,48
742,Dermatochalasis,48
743,Pathologic fracture of vertebrae,48
744,"Spondylolisthesis, lumbar region",48
745,Hypertrophy of prostate without urinary obstruction and other lower urinary tract symptoms (LUTS),48
746,"Hydrocele, unspecified",48
747,Urethral discharge,48
748,"Collapsed vertebra, not elsewhere classified, lumbar region, initial encounter for fracture",47
749,"Follow-up examination, following other surgery",47
750,"Severe pre-eclampsia, third trimester",47
751,Unspecified contusion of eye,47
752,"Laceration without foreign body, left lower leg, initial encounter",47
753,"Unspecified arthropathy, lower leg",47
754,"Disease of pancreas, unspecified",47
755,"Laceration without foreign body of left middle finger without damage to nail, initial encounter",47
756,"Foreign body of alimentary tract, part unspecified, initial encounter",47
757,"Elbow, forearm, and wrist, insect bite, nonvenomous, without mention of infection",47
758,"Intra-abdominal and pelvic swelling, mass and lump, unspecified site",46
759,"Gestational (pregnancy-induced) hypertension without significant proteinuria, complicating childbirth",46
760,"Laceration without foreign body of left forearm, initial encounter",46
761,"Osteoarthrosis, unspecified whether generalized or localized, lower leg",46
762,Observation for other specified suspected conditions,46
763,"Other spondylosis with myelopathy, cervical region",46
764,"Foreign body in digestive system, unspecified",46
765,"Open wound of nose, unspecified site, without mention of complication",46
766,"Unspecified injury of right forearm, initial encounter",45
767,Regional enteritis of unspecified site,45
768,"Osteoarthrosis, unspecified whether generalized or localized, pelvic region and thigh",45
769,Other specified symptoms and signs involving the circulatory and respiratory systems,45
770,"Supervision of pregnancy with other poor reproductive or obstetric history, third trimester",45
771,Other hemoglobinopathies,45
772,Acquired spondylolisthesis,45
773,Benign neoplasm of breast,45
774,Iron deficiency anemia secondary to blood loss (chronic),45
775,"Twin, mate liveborn, born in hospital, delivered without mention of cesarean delivery",45
776,Polyp of corpus uteri,45
777,"Malignant neoplasm of kidney, except pelvis",45
778,"Osteoarthritis of knee, unspecified",44
779,Other specified benign mammary dysplasias,44
780,Other complication of puerperium,44
781,"Age-related nuclear cataract, right eye",44
782,"Other hammer toe(s) (acquired), right foot",44
783,Abnormality of gait,44
784,Subdural hemorrhage,44
785,"Laceration without foreign body, right lower leg, initial encounter",44
786,Cirrhosis of liver without mention of alcohol,44
787,Encounter for fitting and adjustment of other gastrointestinal appliance and device,44
788,Encounter for other general examination,44
789,"Previous cesarean delivery, delivered, with or without mention of antepartum condition",44
790,Benign neoplasm of cerebral meninges,44
791,Ganglion of joint,44
792,"Finding of unspecified substance, not normally found in blood",44
793,Anorexia,43
794,"Unspecified asthma, with exacerbation",43
795,"Unspecified injury of right elbow, initial encounter",43
796,"Laceration without foreign body of right index finger without damage to nail, initial encounter",43
797,"Full-term premature rupture of membranes, onset of labor within 24 hours of rupture",43
798,"Other specified injuries of right lower leg, initial encounter",43
799,Other general symptoms and signs,43
800,Esophageal varices without mention of bleeding,43
801,Neoplasm of uncertain behavior of bladder,43
802,Other symptoms involving skin and integumentary tissues,43
803,Cerebral infarction due to embolism of left middle cerebral artery,43
804,Other abscess of vulva,42
805,Unspecified visual loss,42
806,"Spotting complicating pregnancy, unspecified trimester",42
807,Pneumonitis due to inhalation of food and vomit,42
808,"Oligohydramnios, third trimester, not applicable or unspecified",42
809,Impingement syndrome of right shoulder,42
810,Unspecified lesions of oral mucosa,42
811,Gastro-esophageal reflux disease with esophagitis,42
812,Encounter for palliative care,42
813,"Unspecified injury of left forearm, initial encounter",41
814,Encounter for antineoplastic radiation therapy,41
815,Encounter for attention to gastrostomy,41
816,"Type II or unspecified type diabetes mellitus without mention of complication, not stated as uncontrolled",41
817,"Laceration without foreign body of right thumb without damage to nail, initial encounter",41
818,Closed bimalleolar fracture,41
819,"Disorders of bursae and tendons in shoulder region, unspecified",41
820,"Major depressive disorder, single episode, unspecified",41
821,"Other intra-abdominal and pelvic swelling, mass and lump",41
822,"Ventral hernia, unspecified, without mention of obstruction or gangrene",41
823,Anal fissure,41
824,Radial styloid tenosynovitis,40
825,Redundant prepuce and phimosis,40
826,Infection and inflammatory reaction due to internal joint prosthesis,40
827,Chronic pancreatitis,40
828,"Hallux valgus (acquired), left foot",40
829,"Malignant neoplasm of connective and other soft tissue of lower limb, including hip",40
830,Unspecified cirrhosis of liver,40
831,Other and unspecified noninfectious gastroenteritis and colitis,40
832,Diaphragmatic hernia without obstruction or gangrene,40
833,"Abdominal or pelvic swelling, mass or lump, unspecified site",40
834,Family history of malignant neoplasm of digestive organs,40
835,Unspecified epilepsy without mention of intractable epilepsy,40
836,Effusion of lower leg joint,40
837,"Twin pregnancy, dichorionic/diamniotic, third trimester",40
838,Radial styloid tenosynovitis (de quervain),40
839,Complete rupture of rotator cuff,40
840,Acute and chronic respiratory failure with hypoxia,40
841,Other disorder of menstruation and other abnormal bleeding from female genital tract,40
842,Pilonidal cyst without abscess,40
843,Other specified disorders of biliary tract,39
844,"Migraine, unspecified, without mention of intractable migraine without mention of status migrainosus",39
845,"Postlaminectomy syndrome, not elsewhere classified",39
846,Other specified diabetes mellitus with ketoacidosis without coma,39
847,"Edema, unspecified",39
848,"Intervertebral disc disorders with radiculopathy, lumbosacral region",39
849,Epileptic grand mal status,39
850,"Type II or unspecified type diabetes mellitus with ketoacidosis, uncontrolled",39
851,"Volume depletion, unspecified",39
852,Hyperpotassemia,39
853,Intramural leiomyoma of uterus,39
854,"Inguinal hernia with obstruction, without mention of gangrene, unilateral or unspecified, (not specified as recurrent)",38
855,Unspecified pre-existing hypertension complicating childbirth,38
